code,name,narrow_foe
100399,"Visual Arts and Crafts, n.e.c.",1003
100501,Graphic Arts and Design Studies,1005
100503,Textile Design,1005
100505,Fashion Design,1005
100599,"Graphic and Design Studies, n.e.c.",1005
100701,Audio Visual Studies,1007
100703,Journalism,1007
100705,Written Communication,1007
100707,Verbal Communication,1007
100799,"Communication and Media Studies, n.e.c.",1007
109999,"Creative Arts, n.e.c.",1099
110101,Hospitality,1101
110103,Food and Beverage Service,1101
110105,Butchery,1101
110107,Baking and Pastrymaking,1101
110109,Cookery,1101
110111,Food Hygiene,1101
110199,"Food and Hospitality, n.e.c.",1101
110301,Beauty Therapy,1103
110303,Hairdressing,1103
110399,"Personal Services, n.e.c.",1103
120101,General Primary and Secondary Education Programmes,1201
120103,Literacy and Numeracy Programmes,1201
120105,Learning Skills Programmes,1201
120199,"General Education Programmes, n.e.c.",1201
120301,Social and Interpersonal Skills Programmes,1203
120303,Survival Skills Programmes,1203
120305,Parental Education Programmes,1203
120399,"Social Skills Programmes, n.e.c.",1203
120501,Career Development Programmes,1205
120503,Job Search Skills Programmes,1205
120505,Work Practices Programmes,1205
120599,"Employment Skills Programmes, n.e.c.",1205
129999,"Mixed Field Programmes, n.e.c.",1299
